Simple Inventory Management System (SIMS) 
-----------------------------------------------------
SKU       Item                                    Retail    Cost      Floor     Warehouse 
-------------------------------------------------------------------------------------------
V0011     Cut Green Bean 14.5 oz                  1.05      0.49      73        227       
V0013     Cut Green Beans 14.5 oz                 0.75      0.51      68        332       
F0001     Braeburn apples, 2 pack                 1.79      0.89      16        14        
V0017     Lima Beans 15 oz                        0.97      0.49      92        108       
V0024     Cut Wax Beans 14.5 oz                   0.69      0.34      47        53        
V0043     Chili Hot Beans 15 oz                   0.65      0.29      36        64        
F0002     Braeburn apples, 6 pack                 4.49      2.12      33        27        
F0003     Gala apples, 2 pack                     1.89      0.75      26        24        
F0004     Gala apples, 6 pack                     4.49      1.99      20        25        
F0005     Bananas, green 16 oz                    0.69      0.25      78        112       
F0006     Lite Peaches 15 oz                      1.09      0.49      44        134       
F0007     Bananas, ripe 16 oz                     0.69      0.20      166       234       
F0008     Strawberries 16 oz                      1.49      0.69      72        118       
F0009     Blackberries, vine ripened 1/2 pt       4.49      1.99      53        136       
F0010     Blueberries, vine ripened 1/2 pt        5.99      2.49      32        68        
F0011     Grapefruit, large pink                  0.79      0.29      88        212       
F0012     Lemon, large                            0.59      0.30      92        196       
F0013     Lemon, medium                           0.39      0.19      74        125       
F0014     Lime                                    0.59      0.29      47        83        
F0015     Navel Orange, large                     0.69      0.33      332       176       
F0016     Navel Orange, small                     0.45      0.19      156       44        
F0017     Cantaloupe                              1.99      0.99      184       125       
F0018     Honeydew                                3.99      1.99      65        35        
F0019     Beefsteak Tomato, 4 pack                4.49      2.22      43        34        
F0020     Cherry Tomatos, 12 oz                   3.99      1.89      186       144       
F0021     Roma Tomatos, 8 pack                    2.19      1.09      190       160       
F0022     Yellow Tomatos, 2 pack                  3.99      2.12      93        76        
F0023     Avocado                                 2.29      1.89      46        32        
V0007     Whole Green Beans 14.5 oz               0.75      0.29      122       134       
V0015     Whole Kernel Corn 14.5 oz               0.75      0.25      154       147       
V0027     Sweet Peas 15.25 oz                     0.75      0.32      94        80        
V0031     Great Northern Bean 12.5 oz             1.25      0.59      86        324       
V0033     Red Kidney Bean 12.5 oz                 1.29      0.55      82        320       
V0034     Red Kidney Bean                         0.79      0.69      90        412       
V0040     Chopped Spinach, 10 oz                  0.89      0.49      82        91        
V0041     Creamed Spinach, 10 oz                  1.79      0.89      67        33        
M0004     Ground Beef 80% Lean 16 oz              3.49      1.69      182       124       
M0005     Ground Beef 90% Lean 16 oz              4.49      2.39      174       182       
M0010     Chicken Wings, 10 oz                    2.99      1.49      300       200       
M0013     Chicken breast, split 1.25 lb           3.49      1.79      196       150       
M0017     Chicken thighs, boneless 1 lb           2.99      1.69      112       134       
M0018     Chicken thighs                          1.79      0.89      91        138       
M0020     Choice Chuck Steak 16 oz                4.49      2.24      182       118       
M0022     Choice Flank Steak 16 oz                7.99      3.89      92        138       
M0023     Choice Chuck Eye Steak 12 oz            3.99      1.99      86        68        
M0031     Choice Filet Mignon 8 oz                9.49      5.89      44        58        
S0035     Crab Legs, Imitation 8 oz               1.98      0.99      182       146       
S0023     Scallops 16 oz                          10.99     4.94      110       120       
S0012     Oysters 8 oz                            6.99      3.54      102       118       
S0008     Jumbo Shrimp, peeled 16 oz              14.99     7.79      229       128       
S0040     Calamari, breaded rings 10 oz           5.99      3.55      64        42        
S0041     Calamari, rings 16 oz                   5.99      2.99      36        47        
S0010     Salmon, farm raised 8 oz                9.99      5.15      79        81        
S0037     Mahi Mahi 8 oz                          9.99      4.89      27        21        
S0029     Orange Roughy fillets 8 oz              9.99      4.00      38        39        
S0030     Sushi, Vegetarian, 25 pc                10.79     5.05      18        64        
S0031     Sushi, Eel and Cucumber, 9 pc           4.95      2.50      28        33        
D0001     Milk, 2% Gallon                         3.05      1.49      402       386       
D0002     Milk, 2% Half Gallon                    2.19      0.99      218       293       
